,开仓时间,开仓价格,平仓时间,平仓价格,盈利,净值
0,2020-08-02 04:00:00,0.00028,2020-08-02 12:40:00,0.00027,-3.771428571428562,0.9622857142857144
1,2020-08-03 04:00:00,0.00027,2020-08-05 20:59:00,0.00027,-0.2,0.9602857142857144
2,2020-08-07 04:00:00,0.00027,2020-08-08 01:26:00,0.00026,-3.9037037037037137,0.9212486772486773
3,2020-08-11 00:00:00,0.00027,2020-08-11 14:34:00,0.00027,-0.2,0.9192486772486773
4,2020-08-12 04:00:00,0.00027,2020-08-16 20:05:00,0.0003,10.9111111111111,1.0283597883597884
5,2020-08-17 00:00:00,0.00033,2020-08-17 21:23:00,0.00032,-3.230303030303022,0.9960567580567581
6,2020-08-20 12:00:00,0.00029,2020-08-21 18:39:00,0.00029,-0.2,0.9940567580567581
7,2020-08-23 08:00:00,0.00029,2020-08-24 06:29:00,0.00028,-3.648275862068975,0.9575739994360684
8,2020-08-25 20:00:00,0.00029,2020-08-26 00:56:00,0.00028,-3.648275862068975,0.9210912408153786
9,2020-08-28 12:00:00,0.00027,2020-08-31 05:51:00,0.00027,-0.2,0.9190912408153786
10,2020-09-02 04:00:00,0.00029,2020-09-02 18:44:00,0.00029,-0.2,0.9170912408153786
11,2020-09-04 00:00:00,0.00027,2020-09-04 07:29:00,0.00027,-0.2,0.9150912408153786
12,2020-09-04 20:00:00,0.00029,2020-09-05 17:16:00,0.00029,-0.2,0.9130912408153786
13,2020-09-05 20:00:00,0.0003,2020-09-06 09:16:00,0.00029,-3.5333333333333243,0.8777579074820454
14,2020-09-06 16:00:00,0.00029,2020-09-07 19:01:00,0.00027,-7.096551724137932,0.8067923902406661
15,2020-09-16 20:00:00,0.00025,2020-09-19 01:35:00,0.00025,-0.2,0.8047923902406661
16,2020-09-20 12:00:00,0.00025,2020-09-25 13:41:00,0.00023,-8.2,0.7227923902406661
17,2020-09-25 20:00:00,0.00024,2020-10-02 18:21:00,0.00024,-0.2,0.7207923902406661
18,2020-10-03 12:00:00,0.00024,2020-10-04 08:01:00,0.00024,-0.2,0.7187923902406661
19,2020-10-05 00:00:00,0.00024,2020-10-05 15:33:00,0.00023,-4.366666666666667,0.6751257235739995
20,2020-10-07 00:00:00,0.00027,2020-10-08 15:11:00,0.00024,-11.311111111111108,0.5620146124628884
21,2020-10-22 12:00:00,0.00021,2020-10-23 03:21:00,0.00021,-0.2,0.5600146124628884
22,2020-10-23 08:00:00,0.00021,2020-10-23 18:59:00,0.0002,-4.961904761904762,0.5103955648438407
23,2020-10-26 04:00:00,0.00021,2020-10-26 20:08:00,0.0002,-4.961904761904762,0.4607765172247931
24,2020-10-28 20:00:00,0.0002,2020-10-30 01:28:00,0.00019,-5.2,0.40877651722479313
25,2020-10-30 08:00:00,0.0002,2020-10-30 17:09:00,0.00019,-5.2,0.35677651722479314
26,2020-10-31 12:00:00,0.00019,2020-11-03 11:02:00,0.00018,-5.463157894736842,0.3021449382774247
27,2020-11-07 12:00:00,0.00017,2020-11-09 00:14:00,0.00017,-0.2,0.3001449382774247
28,2020-11-14 00:00:00,0.00016,2020-11-16 01:34:00,0.00016,-0.2,0.2981449382774247
29,2020-11-17 12:00:00,0.00016,2020-11-18 00:55:00,0.00015,-6.450000000000016,0.23364493827742455
30,2020-11-19 04:00:00,0.00015,2020-11-22 14:15:00,0.00016,6.4666666666666845,0.29831160494409137
31,2020-11-23 04:00:00,0.00017,2020-11-23 08:32:00,0.00017,-0.2,0.29631160494409137
32,2020-11-24 04:00:00,0.00018,2020-11-24 18:01:00,0.00019,5.355555555555555,0.34986716049964695
33,2020-11-25 04:00:00,0.00019,2020-11-25 10:22:00,0.00019,-0.2,0.34786716049964694
34,2020-11-25 16:00:00,0.00019,2020-11-26 04:35:00,0.00018,-5.463157894736842,0.2932355815522785
35,2020-11-26 20:00:00,0.00018,2020-11-27 01:10:00,0.00016,-11.31111111111111,0.18012447044116742
36,2020-11-30 08:00:00,0.00017,2020-11-30 15:40:00,0.00016,-6.08235294117647,0.11930094102940272
37,2020-12-01 04:00:00,0.00017,2020-12-01 19:25:00,0.00016,-6.08235294117647,0.058477411617638024
38,2020-12-06 08:00:00,0.00016,2020-12-06 14:25:00,0.00016,-0.2,0.05647741161763802
39,2020-12-07 04:00:00,0.00016,2020-12-07 04:17:00,0.00015,-6.450000000000016,-0.008022588382362146
