,开仓时间,开仓价格,开仓参考时间,开仓参考价格,平仓时间,平仓价格,平仓参考时间,平仓参考价格,盈利,净值
0,2019-02-09 08:00:00,3660.270000000000,2019-01-16 08:00:00,3553.060000000000,2019-02-13 08:00:00,3631.510000000000,2019-01-20 08:00:00,3665.750000000000,-0.985734385715,0.990142656143
1,2019-02-14 08:00:00,3608.340000000000,2019-01-21 08:00:00,3539.260000000000,2019-03-05 08:00:00,3716.100000000000,2019-02-09 08:00:00,3660.270000000000,2.786414805700,1.018006804200
2,2019-03-06 08:00:00,3857.580000000000,2019-02-10 08:00:00,3665.180000000000,2019-03-14 08:00:00,3866.000000000000,2019-02-18 02:00:00,3627.870000000000,0.018271558853,1.018189519788
3,2019-03-17 08:00:00,4005.980000000000,2019-02-21 02:00:00,3944.730000000000,2019-03-20 08:00:00,4017.480000000000,2019-02-24 02:00:00,4095.000000000000,0.087070829110,1.019060228079
4,2019-03-21 08:00:00,4043.040000000000,2019-02-25 02:00:00,3774.510000000000,2019-06-05 08:00:00,7687.040000000000,2019-05-11 22:00:00,6802.810000000000,89.930199058134,1.918362218661
5,2019-06-14 08:00:00,8216.440000000001,2019-05-21 06:59:00,7880.000000000000,2019-07-15 08:00:00,10174.180000000000,2019-06-21 08:00:00,9518.059999999999,23.627107603780,2.154633294699
6,2019-08-06 08:00:00,11830.000000000000,2019-07-13 08:00:00,11757.219999999999,2019-08-15 08:00:00,10055.160000000000,2019-07-22 08:00:00,10590.150000000000,-15.202874049028,2.002604554208
7,2019-08-20 08:00:00,10914.730000000000,2019-07-27 00:00:00,9794.010000000000,2019-08-22 08:00:00,10140.820000000000,2019-07-29 00:00:00,9522.910000000000,-7.290509797311,1.929699456235
8,2019-09-09 08:00:00,10381.240000000000,2019-08-16 08:00:00,10296.770000000000,2019-09-10 08:00:00,10302.580000000000,2019-08-17 08:00:00,10331.150000000000,-0.957712951439,1.920122326721
9,2019-09-15 08:00:00,10332.809999999999,2019-08-22 08:00:00,10140.820000000000,2019-09-17 08:00:00,10249.680000000000,2019-08-24 08:00:00,10388.160000000000,-1.004524616247,1.910077080558
