,开仓时间,开仓价格,开仓参考时间,开仓参考价格,平仓时间,平仓价格,平仓参考时间,平仓参考价格,盈利,净值
0,2019-02-03 00:00:00,2.438900000000,2019-01-27 00:00:00,2.404800000000,2019-02-03 08:32:00,2.372100000000,2019-01-27 08:32:00,2.404300000000,-2.988939685924,0.970110603141
1,2019-02-04 00:00:00,2.370100000000,2019-01-28 00:00:00,2.352100000000,2019-02-04 00:01:00,2.372100000000,2019-01-28 00:01:00,2.352500000000,-0.165615374879,0.968503950829
2,2019-02-05 00:00:00,2.397300000000,2019-01-29 00:00:00,2.226600000000,2019-02-05 15:02:00,2.378700000000,2019-01-29 15:02:00,2.229400000000,-1.025872856964,0.958568331678
3,2019-02-06 00:00:00,2.391400000000,2019-01-30 00:00:00,2.256200000000,2019-02-06 00:26:00,2.378800000000,2019-01-30 00:26:00,2.251900000000,-0.776888015388,0.951121329190
4,2019-02-09 00:00:00,2.721300000000,2019-02-02 00:00:00,2.325800000000,2019-02-27 00:00:00,3.432400000000,2019-02-20 00:00:00,3.520000000000,25.880893323044,1.197280025771
5,2019-03-06 00:00:00,3.749400000000,2019-02-27 00:00:00,3.432400000000,2019-03-11 05:58:00,3.624000000000,2019-03-04 05:58:00,3.517400000000,-3.594535125620,1.154243374692
6,2019-03-17 00:00:00,3.797400000000,2019-03-09 18:00:00,3.691400000000,2019-03-20 09:59:00,3.673800000000,2019-03-13 09:59:00,3.649300000000,-3.504858587455,1.113788776654
7,2019-03-21 00:00:00,3.710000000000,2019-03-14 00:00:00,3.563200000000,2019-03-21 13:44:00,3.632100000000,2019-03-14 13:44:00,3.559600000000,-2.349730458221,1.087617742529
8,2019-03-27 00:00:00,3.743900000000,2019-03-20 00:00:00,3.726600000000,2019-04-14 00:00:00,5.285700000000,2019-04-07 00:00:00,5.328800000000,40.931655492935,1.532797689981
9,2019-04-15 00:00:00,5.542100000000,2019-04-08 00:00:00,5.417400000000,2019-04-16 00:00:00,5.326300000000,2019-04-09 00:00:00,5.493500000000,-4.143830858339,1.469281146308
10,2019-04-19 00:00:00,5.468200000000,2019-04-12 00:00:00,5.278800000000,2019-04-21 08:20:00,5.238900000000,2019-04-14 08:20:00,5.285600000000,-4.443336015508,1.403996047965
11,2019-05-12 00:00:00,5.430900000000,2019-05-05 00:00:00,4.949000000000,2019-05-23 00:00:00,5.928900000000,2019-05-16 00:00:00,6.462000000000,8.919750870022,1.529228997668
12,2019-05-25 00:00:00,6.406600000000,2019-05-18 00:00:00,6.034300000000,2019-06-03 23:24:00,6.693600000000,2019-05-27 23:24:00,6.889600000000,4.229755252396,1.593911641518
13,2019-06-17 00:00:00,6.970300000000,2019-06-10 00:00:00,6.138900000000,2019-06-18 05:44:00,6.969800000000,2019-06-11 05:44:00,6.447900000000,-0.257173292398,1.589812526472
14,2019-06-22 00:00:00,7.033900000000,2019-06-15 00:00:00,6.540000000000,2019-06-26 20:41:00,7.029600000000,2019-06-19 20:41:00,6.790000000000,-0.311132515390,1.584866102768
