,开仓时间,开仓价格,平仓时间,平仓价格,盈利,净值
0,2021-05-02 03:30:00,57975.000000000000,2021-05-02 04:45:00,57792.739999999998,-0.564376886589,0.994356231134
1,2021-05-02 07:30:00,57848.699999999997,2021-05-02 08:33:00,57480.820000000000,-0.885934774679,0.985546883498
2,2021-05-02 20:00:00,57090.000000000000,2021-05-02 20:26:00,56754.989999999998,-0.836810299527,0.977299725671
3,2021-05-03 01:45:00,56820.010000000002,2021-05-03 03:00:00,56840.440000000002,-0.214044356909,0.975207870758
4,2021-05-03 04:00:00,56836.389999999999,2021-05-03 05:15:00,56889.860000000001,-0.155922948308,0.973687297893
5,2021-05-03 05:30:00,56985.739999999998,2021-05-03 06:08:00,56587.820000000000,-0.948279955652,0.964454016417
6,2021-05-03 08:15:00,56977.419999999998,2021-05-03 09:30:00,57641.529999999999,0.915566991275,0.973284239037
7,2021-05-03 09:45:00,58127.779999999999,2021-05-03 11:00:00,58060.480000000003,-0.365779408744,0.969724165702
8,2021-05-03 11:15:00,58060.360000000001,2021-05-03 12:30:00,57890.000000000000,-0.543418780042,0.964454502471
9,2021-05-03 12:45:00,57723.849999999999,2021-05-03 14:00:00,57938.860000000001,0.122480352575,0.965635769746
10,2021-05-03 14:15:00,58049.040000000001,2021-05-03 15:30:00,58442.239999999998,0.427358316348,0.969762494514
11,2021-05-03 15:45:00,58664.839999999997,2021-05-03 17:00:00,58764.080000000002,-0.080835641928,0.968978580776
12,2021-05-03 17:15:00,58441.349999999999,2021-05-03 18:30:00,58532.360000000001,-0.094271222345,0.968065112824
13,2021-05-03 18:45:00,58347.059999999998,2021-05-03 20:00:00,58657.639999999999,0.282297599913,0.970797937403
14,2021-05-03 20:15:00,58676.889999999999,2021-05-03 21:30:00,58535.410000000003,-0.491117073519,0.966030182983
15,2021-05-04 18:15:00,56487.360000000001,2021-05-04 19:30:00,56140.349999999999,-0.864314423616,0.957680644775
16,2021-05-04 20:45:00,56166.180000000000,2021-05-04 21:36:00,55765.550000000003,-0.963294014298,0.948455364448
17,2021-05-05 08:45:00,54655.339999999997,2021-05-05 10:00:00,54758.720000000001,-0.060851053163,0.947878219370
18,2021-05-05 10:15:00,55262.059999999998,2021-05-05 11:30:00,55005.339999999997,-0.714550181445,0.941105153833
19,2021-05-05 11:45:00,54980.320000000000,2021-05-05 13:00:00,54552.320000000000,-1.028460365454,0.931426260329
20,2021-05-05 13:45:00,54753.279999999999,2021-05-05 14:19:00,54252.980000000003,-1.163735213671,0.920586924948
21,2021-05-05 15:45:00,54750.500000000000,2021-05-05 17:00:00,55425.019999999997,0.981988748961,0.929626984975
22,2021-05-05 17:15:00,55246.120000000003,2021-05-05 18:30:00,55212.000000000000,-0.311759993281,0.926728779950
23,2021-05-05 18:45:00,55312.639999999999,2021-05-05 20:00:00,55108.949999999997,-0.618252175271,0.920999259109
24,2021-05-05 20:15:00,55280.000000000000,2021-05-05 21:30:00,55903.000000000000,0.876989869754,0.929076329312
25,2021-05-05 21:45:00,56102.379999999997,2021-05-05 23:00:00,56982.919999999998,1.319523431983,0.941335709178
26,2021-05-05 23:15:00,57206.790000000001,2021-05-06 00:30:00,57567.459999999999,0.380467117627,0.944917182018
27,2021-05-06 00:45:00,57404.300000000003,2021-05-06 02:00:00,57281.330000000002,-0.464217401832,0.940530712026
28,2021-05-06 02:15:00,57425.800000000003,2021-05-06 03:30:00,57293.820000000000,-0.479827011552,0.936017791618
29,2021-05-06 03:45:00,57100.000000000000,2021-05-06 05:00:00,56841.769999999997,-0.702241681261,0.929444684541
30,2021-05-06 05:15:00,56887.000000000000,2021-05-06 06:30:00,57523.959999999999,0.869693427321,0.937528003873
31,2021-05-06 06:45:00,57280.379999999997,2021-05-06 08:00:00,57436.110000000001,0.021873196372,0.937733071214
32,2021-05-06 08:15:00,57497.629999999997,2021-05-06 08:27:00,56700.000000000000,-1.637239787101,0.922380132276
33,2021-05-06 12:30:00,57418.099999999999,2021-05-06 12:57:00,56822.029999999999,-1.288122125253,0.910498749713
34,2021-05-06 16:30:00,57172.379999999997,2021-05-06 17:21:00,56775.599999999999,-0.944006441572,0.901903582865
35,2021-05-06 17:30:00,57169.989999999998,2021-05-06 18:45:00,58136.739999999998,1.441009566383,0.914900099774
36,2021-05-06 19:00:00,57982.099999999999,2021-05-06 20:15:00,57747.769999999997,-0.654141967952,0.908915354256
37,2021-05-06 20:30:00,57789.650000000001,2021-05-06 21:45:00,57389.910000000003,-0.941715558063,0.900355956956
38,2021-05-07 17:45:00,56348.970000000001,2021-05-07 19:00:00,56400.570000000000,-0.158427784927,0.898929542957
39,2021-05-07 19:15:00,56309.589999999997,2021-05-07 20:30:00,56464.089999999997,0.024375998831,0.899148666011
40,2021-05-07 20:45:00,57353.440000000002,2021-05-07 22:00:00,56997.470000000001,-0.870660242873,0.891320136052
41,2021-05-07 22:15:00,56914.129999999997,2021-05-07 23:30:00,57316.769999999997,0.457451734745,0.895397495477
42,2021-05-07 23:45:00,57369.190000000002,2021-05-08 01:00:00,58300.000000000000,1.372491096702,0.907686746382
43,2021-05-08 01:15:00,58442.120000000003,2021-05-08 02:30:00,57990.940000000002,-1.022011692937,0.898410081699
44,2021-05-08 02:45:00,57900.010000000002,2021-05-08 04:00:00,57584.010000000002,-0.795768472233,0.891260817517
45,2021-05-08 04:15:00,58046.970000000001,2021-05-08 05:30:00,57379.029999999999,-1.400688830097,0.878777026799
46,2021-05-08 05:45:00,57558.699999999997,2021-05-08 06:17:00,57158.370000000003,-0.945516055783,0.870468048916
47,2021-05-08 09:00:00,57700.529999999999,2021-05-08 10:15:00,57643.230000000003,-0.349305846931,0.867427453126
48,2021-05-08 10:45:00,57953.059999999998,2021-05-08 12:00:00,58099.860000000001,0.003308453428,0.867456151559
49,2021-05-08 12:15:00,58172.199999999997,2021-05-08 13:30:00,57892.540000000001,-0.730745098174,0.861117258253
50,2021-05-08 14:00:00,57877.970000000001,2021-05-08 15:15:00,57754.180000000000,-0.463881032801,0.857122698622
51,2021-05-08 15:30:00,58068.690000000002,2021-05-08 16:45:00,59070.010000000002,1.474371601977,0.869759872284
