,开仓时间,开仓价格,平仓时间,平仓价格,盈利,净值
0,2021-01-04 16:00:00,32068.840000000000,2021-01-05 09:00:00,32430.689999999999,-1.228353878718,0.987716461213
1,2021-01-05 12:00:00,31190.040000000001,2021-01-05 20:00:00,31776.660000000000,-1.980792714597,0.968151845508
2,2021-01-05 21:00:00,31585.000000000000,2021-01-05 23:00:00,32343.610000000001,-2.501804654108,0.943930577578
3,2021-01-10 20:00:00,39175.089999999997,2021-01-12 14:00:00,35882.680000000000,8.304345720712,1.022317836104
4,2021-01-12 22:00:00,33286.000000000000,2021-01-13 01:00:00,34998.910000000003,-5.246037373070,0.968686660351
5,2021-01-13 07:00:00,33751.699999999997,2021-01-13 08:00:00,34049.150000000001,-0.981288942483,0.959181045265
6,2021-01-13 09:00:00,32526.930000000000,2021-01-13 12:00:00,33818.500000000000,-4.070771296277,0.920134978595
7,2021-01-13 13:00:00,33183.889999999999,2021-01-13 15:00:00,33780.680000000000,-1.898432914285,0.902666833306
8,2021-01-15 23:00:00,36940.110000000001,2021-01-16 17:00:00,37462.570000000000,-1.514343379053,0.888997357881
9,2021-01-16 22:00:00,37148.150000000001,2021-01-16 23:00:00,37232.190000000002,-0.326229300786,0.886097188016
10,2021-01-17 02:00:00,36859.239999999998,2021-01-17 10:00:00,36715.629999999997,0.289617365958,0.888663479352
11,2021-01-17 11:00:00,36419.680000000000,2021-01-18 00:00:00,35728.470000000001,1.797902452740,0.904640781844
12,2021-01-18 03:00:00,35676.580000000002,2021-01-18 05:00:00,36073.879999999997,-1.213615710923,0.893661919188
13,2021-01-18 12:00:00,35108.269999999997,2021-01-18 16:00:00,36100.550000000003,-2.926342625256,0.867510309521
14,2021-01-20 08:00:00,35901.940000000002,2021-01-20 09:00:00,36313.940000000002,-1.247570298430,0.856687508564
15,2021-01-20 10:00:00,36105.269999999997,2021-01-22 23:00:00,32516.740000000002,9.839075375977,0.940977638268
16,2021-01-24 23:00:00,32055.720000000001,2021-01-25 07:00:00,32127.970000000001,-0.325388791766,0.937915802500
