,开仓时间,开仓价格,开仓参考时间,开仓参考价格,平仓时间,平仓价格,平仓参考时间,平仓参考价格,盈利,净值
0,2019-02-09 00:00:00,3660.270000000000,2019-01-26 00:00:00,3566.690000000000,2019-02-27 20:35:00,3725.920000000000,2019-02-13 20:35:00,3630.940000000000,1.543583533455,1.015435835335
1,2019-02-28 00:00:00,3818.040000000000,2019-02-14 00:00:00,3608.340000000000,2019-03-04 04:23:00,3781.570000000000,2019-02-18 04:23:00,3667.220000000000,-1.205202145603,1.003197780860
2,2019-03-11 00:00:00,3915.990000000000,2019-02-25 00:00:00,3743.560000000000,2019-03-11 12:05:00,3863.960000000000,2019-02-25 12:05:00,3745.280000000000,-1.578655078282,0.987360748147
3,2019-03-12 00:00:00,3871.610000000000,2019-02-26 00:00:00,3828.440000000000,2019-03-12 00:24:00,3865.000000000000,2019-02-26 00:24:00,3829.260000000000,-0.420730006380,0.983206625208
4,2019-03-13 00:00:00,3882.690000000000,2019-02-26 18:00:00,3811.330000000000,2019-03-13 02:10:00,3872.060000000000,2019-02-26 20:10:00,3812.080000000000,-0.523779261285,0.978056792810
5,2019-03-15 00:00:00,3877.120000000000,2019-02-28 18:00:00,3814.530000000000,2019-03-21 14:58:00,3936.140000000000,2019-03-07 08:58:00,3858.630000000000,1.272263948498,0.990500256781
6,2019-03-22 00:00:00,3980.850000000000,2019-03-07 18:00:00,3879.530000000000,2019-03-25 18:58:00,3926.060000000000,2019-03-11 12:58:00,3906.300000000000,-1.626339224035,0.974391362591
7,2019-03-26 00:00:00,3935.470000000000,2019-03-11 18:00:00,3868.990000000000,2019-03-26 06:49:00,3925.170000000000,2019-03-12 00:49:00,3872.000000000000,-0.511722233939,0.969405185343
8,2019-03-27 00:00:00,3948.770000000000,2019-03-13 00:00:00,3882.690000000000,2019-04-25 22:05:00,5224.910000000000,2019-04-11 22:05:00,5316.840000000000,32.067405166672,1.280268273833
9,2019-04-26 00:00:00,5220.470000000000,2019-04-12 00:00:00,5017.370000000000,2019-04-26 00:18:00,5190.550000000000,2019-04-12 00:18:00,5016.710000000000,-0.823128473107,1.269730021139
10,2019-04-27 00:00:00,5315.000000000000,2019-04-13 00:00:00,5047.000000000000,2019-04-29 13:09:00,5222.410000000000,2019-04-15 13:09:00,5137.230000000000,-1.992050799624,1.244436354100
11,2019-04-30 00:00:00,5238.140000000000,2019-04-16 00:00:00,5024.950000000000,2019-04-30 00:41:00,5235.050000000000,2019-04-16 00:41:00,5022.600000000000,-0.308990404991,1.240591165170
12,2019-05-01 00:00:00,5321.940000000000,2019-04-17 00:00:00,5173.720000000000,2019-06-04 00:00:00,8115.660000000000,2019-05-21 00:00:00,7950.790000000000,52.244391143079,1.888730465987
13,2019-06-15 00:00:00,8650.879999999999,2019-05-31 22:59:00,8520.870000000001,2019-07-02 04:29:00,9999.969999999999,2019-06-18 04:29:00,9331.020000000000,15.344829658948,2.178552938710
14,2019-07-03 00:00:00,10844.980000000000,2019-06-19 00:00:00,9081.969999999999,2019-07-11 00:00:00,12108.110000000001,2019-06-27 00:00:00,13062.900000000000,11.397139967063,2.426845666391
15,2019-08-03 00:00:00,10523.750000000000,2019-07-20 00:00:00,10505.780000000001,2019-08-14 01:39:00,10623.049999999999,2019-07-31 01:39:00,9566.010000000000,0.693579997624,2.443677782506
16,2019-09-05 00:00:00,10565.920000000000,2019-08-22 00:00:00,10140.820000000000,2019-09-06 20:12:00,10319.650000000000,2019-08-23 20:12:00,10078.760000000000,-2.580795614580,2.380611453461
