,开仓时间,开仓价格,开仓参考时间,开仓参考价格,平仓时间,平仓价格,平仓参考时间,平仓参考价格,盈利,净值
0,2019-02-09 08:00:00,3660.270000000000,2019-01-16 08:00:00,3553.060000000000,2019-02-13 08:00:00,3631.510000000000,2019-01-20 08:00:00,3661.010000000000,-0.985734385715,0.990142656143
1,2019-02-14 08:00:00,3608.340000000000,2019-01-21 08:00:00,3539.260000000000,2019-03-05 08:00:00,3716.100000000000,2019-02-09 08:00:00,3658.620000000000,2.786414805700,1.018006804200
2,2019-03-06 08:00:00,3857.580000000000,2019-02-10 08:00:00,3665.180000000000,2019-03-14 08:00:00,3866.000000000000,2019-02-18 02:00:00,3625.470000000000,0.018271558853,1.018189519788
3,2019-03-17 08:00:00,4005.980000000000,2019-02-21 02:00:00,3944.730000000000,2019-03-20 08:00:00,4017.480000000000,2019-02-24 02:00:00,4100.000000000000,0.087070829110,1.019060228079
4,2019-03-21 08:00:00,4043.040000000000,2019-02-25 02:00:00,3774.510000000000,2019-06-04 08:00:00,8115.660000000000,2019-05-10 22:00:00,6324.000000000000,100.531627686098,2.024376504940
5,2019-06-14 08:00:00,8216.440000000001,2019-05-21 06:59:00,7880.000000000000,2019-07-14 08:00:00,11355.780000000001,2019-06-20 08:00:00,9266.770000000000,38.008031702294,2.404456821963
6,2019-08-06 08:00:00,11830.000000000000,2019-07-13 08:00:00,11757.219999999999,2019-08-15 08:00:00,10055.160000000000,2019-07-22 08:00:00,10617.920000000000,-15.202874049028,2.252428081473
7,2019-08-20 08:00:00,10914.730000000000,2019-07-27 00:00:00,9794.010000000000,2019-08-21 08:00:00,10760.510000000000,2019-07-28 00:00:00,9438.799999999999,-1.612952954402,2.236298551929
8,2019-09-09 08:00:00,10381.240000000000,2019-08-16 08:00:00,10296.770000000000,2019-09-10 08:00:00,10302.580000000000,2019-08-17 08:00:00,10348.450000000001,-0.957712951439,2.226721422415
9,2019-09-15 08:00:00,10332.809999999999,2019-08-22 08:00:00,10140.820000000000,2019-09-17 08:00:00,10249.680000000000,2019-08-24 08:00:00,10395.020000000000,-1.004524616247,2.216676176252
10,2019-09-18 08:00:00,10187.480000000000,2019-08-25 08:00:00,10134.610000000001,2019-09-19 08:00:00,10156.410000000000,2019-08-26 08:00:00,10152.639999999999,-0.504982193830,2.211626354314
11,2019-10-21 08:00:00,8223.350000000000,2019-09-27 08:00:00,8063.490000000000,2019-10-23 08:00:00,8020.060000000000,2019-09-29 08:00:00,8214.730000000000,-2.672106866423,2.184905285650
12,2019-10-26 08:00:00,8655.879999999999,2019-10-02 08:00:00,8292.670000000000,2019-11-12 08:00:00,8733.360000000001,2019-10-19 08:00:00,7949.560000000000,0.695114072746,2.191856426377
13,2019-12-19 08:00:00,7277.830000000000,2019-11-25 06:00:00,7033.510000000000,2019-12-20 08:00:00,7151.310000000000,2019-11-26 08:00:00,7112.540000000000,-1.938430273859,2.172472123639
14,2019-12-23 08:00:00,7500.710000000000,2019-11-29 08:00:00,7418.520000000000,2019-12-24 08:00:00,7317.300000000000,2019-11-30 08:00:00,7734.690000000000,-2.645235184403,2.146019771795
15,2019-12-29 08:00:00,7315.360000000000,2019-12-05 08:00:00,7194.590000000000,2019-12-31 08:00:00,7246.000000000000,2019-12-07 08:00:00,7543.520000000000,-1.148141991645,2.134538351878
16,2020-01-04 08:00:00,7345.000000000000,2019-12-11 08:00:00,7224.150000000000,2020-02-20 08:00:00,9594.650000000000,2020-01-27 01:06:00,8511.160000000000,30.428318584071,2.438821537719
17,2020-02-24 08:00:00,9936.400000000000,2020-01-31 01:06:00,9398.660000000000,2020-02-25 08:00:00,9655.520000000000,2020-02-01 01:06:00,9291.230000000000,-3.026778310052,2.408553754618
18,2020-04-06 08:00:00,6772.780000000000,2020-03-13 08:00:00,4800.010000000000,2020-04-16 08:00:00,6621.250000000000,2020-03-23 08:00:00,5788.630000000000,-2.437338286494,2.384180371753
19,2020-04-17 08:00:00,7101.990000000000,2020-03-24 08:00:00,6465.250000000000,2020-04-21 08:00:00,6828.980000000000,2020-03-28 08:00:00,6302.940000000000,-4.044133827279,2.343739033481
20,2020-04-23 08:00:00,7125.120000000000,2020-03-30 08:00:00,5880.500000000000,2020-05-22 08:00:00,9067.510000000000,2020-04-28 08:00:00,7758.070000000000,27.061154899847,2.614350582479
21,2020-05-29 08:00:00,9575.870000000001,2020-05-05 08:00:00,8871.920000000000,2020-06-01 08:00:00,9448.270000000000,2020-05-08 08:00:00,9989.010000000000,-1.532516001157,2.599025422467
22,2020-06-02 08:00:00,10202.709999999999,2020-05-09 08:00:00,9800.020000000000,2020-06-03 08:00:00,9518.020000000000,2020-05-10 08:00:00,9567.870000000001,-6.910864074349,2.529916781724
23,2020-06-04 08:00:00,9666.320000000000,2020-05-11 08:00:00,8722.770000000000,2020-06-08 08:00:00,9746.990000000000,2020-05-15 08:00:00,9813.959999999999,0.634547169967,2.536262253424
24,2020-06-09 08:00:00,9782.000000000000,2020-05-16 08:00:00,9315.959999999999,2020-06-12 08:00:00,9278.879999999999,2020-05-19 08:00:00,9737.889999999999,-5.343324473523,2.482829008688
