,开仓时间,开仓价格,开仓参考时间,开仓参考价格,平仓时间,平仓价格,平仓参考时间,平仓参考价格,盈利,净值
0,2019-02-09 00:00:00,119.320000000000,2019-01-26 00:00:00,115.130000000000,2019-02-27 20:34:00,129.780000000000,2019-02-13 20:34:00,122.390000000000,8.516342608113,1.085163426081
1,2019-02-28 00:00:00,135.030000000000,2019-02-14 00:00:00,121.860000000000,2019-03-02 08:02:00,132.510000000000,2019-02-16 08:02:00,121.640000000000,-2.116251944012,1.062198633981
2,2019-03-17 00:00:00,140.940000000000,2019-03-02 18:00:00,130.580000000000,2019-03-21 14:45:00,135.780000000000,2019-03-07 08:45:00,136.950000000000,-3.911132396765,1.020654639089
3,2019-03-24 00:00:00,137.280000000000,2019-03-09 18:00:00,136.230000000000,2019-03-24 16:22:00,136.300000000000,2019-03-10 10:22:00,136.160000000000,-0.963869463869,1.010816860692
4,2019-03-25 00:00:00,136.120000000000,2019-03-10 18:00:00,135.110000000000,2019-03-25 12:16:00,135.500000000000,2019-03-11 06:16:00,135.130000000000,-0.705480458419,1.003685745269
5,2019-03-28 00:00:00,139.460000000000,2019-03-14 00:00:00,131.690000000000,2019-04-22 00:00:00,168.590000000000,2019-04-08 00:00:00,174.020000000000,20.637709737559,1.210823496055
6,2019-05-07 00:00:00,172.980000000000,2019-04-23 00:00:00,170.520000000000,2019-05-08 00:00:00,169.070000000000,2019-04-24 00:00:00,168.980000000000,-2.510376922188,1.180427262442
7,2019-05-09 00:00:00,170.880000000000,2019-04-25 00:00:00,164.780000000000,2019-05-31 00:00:00,254.590000000000,2019-05-17 00:00:00,263.550000000000,48.737593632959,1.755739104743
8,2019-06-01 00:00:00,267.900000000000,2019-05-18 00:00:00,244.310000000000,2019-06-04 00:00:00,250.020000000000,2019-05-21 00:00:00,251.530000000000,-6.924132138858,1.634169409117
9,2019-06-14 00:00:00,254.670000000000,2019-05-30 22:59:00,252.640000000000,2019-06-14 01:13:00,254.280000000000,2019-05-31 00:12:00,252.140000000000,-0.403139356815,1.627581429072
10,2019-06-16 00:00:00,267.780000000000,2019-06-01 22:59:00,267.850000000000,2019-06-17 00:00:00,267.730000000000,2019-06-02 22:59:00,269.110000000000,-0.268672044215,1.623208572775
11,2019-06-18 00:00:00,273.140000000000,2019-06-03 22:59:00,258.000000000000,2019-07-01 15:01:00,281.710000000000,2019-06-17 15:01:00,268.450000000000,2.887585121183,1.670080102008
12,2019-07-02 00:00:00,295.030000000000,2019-06-18 00:00:00,273.140000000000,2019-07-02 04:21:00,284.370000000000,2019-06-18 04:21:00,273.500000000000,-3.863191878792,1.605561703138
13,2019-07-03 00:00:00,291.470000000000,2019-06-19 00:00:00,264.680000000000,2019-07-03 03:54:00,295.270000000000,2019-06-19 03:54:00,264.860000000000,1.053736233575,1.622480088556
14,2019-07-04 00:00:00,301.110000000000,2019-06-20 00:00:00,268.160000000000,2019-07-04 23:07:00,289.980000000000,2019-06-20 23:07:00,268.250000000000,-3.946323602670,1.558451773873
15,2019-07-09 00:00:00,311.960000000000,2019-06-25 00:00:00,311.650000000000,2019-07-10 00:00:00,307.460000000000,2019-06-26 00:00:00,318.060000000000,-1.692492627260,1.532075092501
16,2019-08-06 00:00:00,233.530000000000,2019-07-23 00:00:00,217.590000000000,2019-08-08 17:47:00,218.450000000000,2019-07-25 17:47:00,215.500000000000,-6.707414464951,1.429312466133
17,2019-08-09 00:00:00,221.380000000000,2019-07-26 00:00:00,219.140000000000,2019-08-09 02:36:00,218.770000000000,2019-07-26 02:36:00,219.040000000000,-1.428968289818,1.408888044229
18,2019-09-13 00:00:00,180.710000000000,2019-08-30 00:00:00,169.030000000000,2019-09-13 04:37:00,179.800000000000,2019-08-30 04:37:00,169.700000000000,-0.753569254607,1.398271097096
19,2019-09-14 00:00:00,180.960000000000,2019-08-31 00:00:00,168.480000000000,2019-09-24 15:05:00,189.080000000000,2019-09-10 15:05:00,180.560000000000,4.237179487179,1.457518353197
20,2019-10-10 00:00:00,192.610000000000,2019-09-26 00:00:00,169.960000000000,2019-10-11 06:07:00,186.150000000000,2019-09-27 06:07:00,165.980000000000,-3.603927625772,1.404990446616
21,2019-10-15 00:00:00,186.700000000000,2019-10-01 00:00:00,180.890000000000,2019-10-15 16:13:00,181.180000000000,2019-10-01 16:13:00,181.090000000000,-3.206614890198,1.359937813749
22,2019-10-16 00:00:00,180.520000000000,2019-10-02 00:00:00,175.650000000000,2019-10-16 06:58:00,179.000000000000,2019-10-02 06:58:00,175.750000000000,-1.092011965433,1.345087130100
23,2019-10-26 00:00:00,181.530000000000,2019-10-12 00:00:00,180.650000000000,2019-10-26 09:18:00,178.100000000000,2019-10-12 09:18:00,180.680000000000,-2.139494849336,1.316309060233
24,2019-10-27 00:00:00,179.420000000000,2019-10-13 00:00:00,179.650000000000,2019-10-27 03:43:00,177.540000000000,2019-10-13 03:43:00,179.470000000000,-1.297820755769,1.299225728039
25,2019-10-28 00:00:00,183.840000000000,2019-10-14 00:00:00,180.980000000000,2019-10-29 00:00:00,181.670000000000,2019-10-15 00:00:00,186.930000000000,-1.430374238468,1.280641937925
26,2019-10-30 00:00:00,190.450000000000,2019-10-16 00:00:00,180.520000000000,2019-10-31 09:48:00,179.330000000000,2019-10-17 09:48:00,174.500000000000,-6.088802835390,1.202666175298
27,2019-11-01 00:00:00,182.190000000000,2019-10-18 00:00:00,177.170000000000,2019-11-01 15:59:00,180.360000000000,2019-10-18 15:59:00,177.310000000000,-1.254445908118,1.187579378673
28,2019-11-02 00:00:00,182.860000000000,2019-10-19 00:00:00,172.780000000000,2019-11-13 00:00:00,187.090000000000,2019-10-30 00:00:00,190.430000000000,2.063245105545,1.212082052078
29,2019-11-14 00:00:00,188.070000000000,2019-10-30 21:37:00,181.690000000000,2019-11-15 02:50:00,182.890000000000,2019-11-01 00:27:00,181.340000000000,-3.004293614080,1.175667548390
30,2020-01-04 00:00:00,134.370000000000,2019-12-21 00:00:00,128.190000000000,2020-02-26 01:10:00,245.360000000000,2020-02-11 19:16:00,236.520000000000,82.350282801221,2.143833099292
31,2020-04-02 00:00:00,135.650000000000,2020-03-19 00:00:00,118.110000000000,2020-04-16 00:26:00,149.870000000000,2020-04-02 00:26:00,137.100000000000,10.232860302248,2.363208545456
32,2020-04-17 00:00:00,172.310000000000,2020-04-03 00:00:00,141.270000000000,2020-04-21 00:00:00,170.210000000000,2020-04-07 00:00:00,170.550000000000,-1.468733677674,2.328499305675
33,2020-04-22 00:00:00,170.730000000000,2020-04-08 00:00:00,164.620000000000,2020-05-10 00:18:00,199.190000000000,2020-04-26 00:18:00,193.730000000000,16.419595267381,2.710829467471
34,2020-05-19 00:00:00,214.920000000000,2020-05-05 00:00:00,206.470000000000,2020-05-21 14:05:00,205.120000000000,2020-05-07 14:05:00,198.190000000000,-4.809836218128,2.580443009933
35,2020-05-26 00:00:00,204.220000000000,2020-05-12 00:00:00,185.800000000000,2020-05-26 00:28:00,203.480000000000,2020-05-12 00:28:00,185.700000000000,-0.612354323768,2.564641555589
36,2020-05-28 00:00:00,208.290000000000,2020-05-14 00:00:00,199.610000000000,2020-06-11 16:59:00,230.130000000000,2020-05-28 16:59:00,208.100000000000,10.235380959240,2.827142389043
37,2020-06-12 00:00:00,230.460000000000,2020-05-29 00:00:00,220.240000000000,2020-06-14 00:00:00,238.130000000000,2020-05-31 00:00:00,243.170000000000,3.078126355984,2.914165404041
38,2020-07-09 00:00:00,246.940000000000,2020-06-24 20:30:00,234.420000000000,2020-07-16 06:51:00,235.250000000000,2020-07-02 06:51:00,231.040000000000,-4.983943468049,2.768925047738
39,2020-07-19 00:00:00,235.670000000000,2020-07-05 00:00:00,229.240000000000,2020-07-19 05:48:00,234.330000000000,2020-07-05 05:48:00,229.120000000000,-0.818591674799,2.746258857816
40,2020-07-20 00:00:00,239.120000000000,2020-07-06 00:00:00,227.540000000000,2020-07-20 19:43:00,234.670000000000,2020-07-06 19:43:00,227.960000000000,-2.110990297758,2.688285599776
41,2020-07-22 00:00:00,245.530000000000,2020-07-08 00:00:00,239.390000000000,2020-08-21 21:12:00,394.170000000000,2020-08-07 21:12:00,394.510000000000,60.288427076121,4.309010703195
42,2020-08-25 00:00:00,407.680000000000,2020-08-11 00:00:00,395.430000000000,2020-08-25 02:48:00,402.030000000000,2020-08-11 02:48:00,395.990000000000,-1.635890894819,4.238519989444
43,2020-09-01 00:00:00,433.800000000000,2020-08-18 00:00:00,430.890000000000,2020-09-03 12:11:00,417.760000000000,2020-08-20 12:11:00,408.680000000000,-3.947556477639,4.071202019045
44,2020-09-18 00:00:00,389.350000000000,2020-09-04 00:00:00,381.350000000000,2020-09-18 04:09:00,385.560000000000,2020-09-04 04:09:00,382.100000000000,-1.223417233851,4.021394231919
45,2020-09-20 00:00:00,385.250000000000,2020-09-06 00:00:00,335.040000000000,2020-09-20 00:34:00,383.790000000000,2020-09-06 00:34:00,333.620000000000,-0.628974691759,3.996100679945
46,2020-10-10 00:00:00,365.010000000000,2020-09-26 00:00:00,351.930000000000,2020-10-30 05:40:00,382.230000000000,2020-10-16 05:40:00,377.710000000000,4.467678967700,4.174633629550
47,2020-11-02 00:00:00,396.680000000000,2020-10-19 00:00:00,378.120000000000,2020-11-02 08:37:00,388.370000000000,2020-10-19 08:37:00,378.260000000000,-2.344887566804,4.076743164612
48,2020-11-05 00:00:00,402.500000000000,2020-10-22 00:00:00,390.310000000000,2020-11-26 08:51:00,488.050000000000,2020-11-12 08:51:00,463.770000000000,21.004658385093,4.933049139576
49,2020-11-27 00:00:00,519.830000000000,2020-11-13 00:00:00,462.480000000000,2020-12-08 00:00:00,591.270000000000,2020-11-23 23:00:00,610.100000000000,13.492954427409,5.598663211860
50,2020-12-10 00:00:00,573.200000000000,2020-11-25 23:00:00,569.120000000000,2020-12-10 06:22:00,560.590000000000,2020-11-26 05:22:00,567.320000000000,-2.449930216329,5.461499870123
51,2020-12-14 00:00:00,590.810000000000,2020-11-29 23:00:00,570.420000000000,2020-12-15 00:00:00,586.290000000000,2020-12-01 00:00:00,615.960000000000,-1.015051370153,5.406062840860
52,2020-12-16 00:00:00,588.780000000000,2020-12-02 00:00:00,585.260000000000,2020-12-22 07:37:00,600.010000000000,2020-12-08 03:46:00,585.860000000000,1.657333808893,5.495659348052
