,开仓时间,开仓价格,平仓时间,平仓价格,盈利,净值
0,2021-01-04 15:00:00,33100.019999999997,2021-01-04 15:19:00,32500.000000000000,-1.912748149397,0.980872518506
1,2021-01-06 01:00:00,32469.900000000001,2021-01-06 06:00:00,33699.629999999997,3.687292230651,1.017040154673
2,2021-01-08 12:00:00,38347.110000000001,2021-01-08 17:00:00,38648.959999999999,0.687151887065,1.024028765289
3,2021-01-09 06:00:00,40075.820000000000,2021-01-09 11:00:00,39973.000000000000,-0.356563683538,1.020377450603
4,2021-01-09 17:00:00,40167.540000000001,2021-01-09 22:00:00,41051.660000000003,2.101080773182,1.041816405031
5,2021-01-10 02:00:00,40421.400000000001,2021-01-10 07:00:00,40283.730000000003,-0.440586916831,1.037226298253
6,2021-01-10 09:00:00,40581.480000000003,2021-01-10 12:00:00,40320.669999999998,-0.742682327012,1.029523001845
7,2021-01-10 15:00:00,40904.500000000000,2021-01-10 17:00:00,40798.300000000003,-0.359629136159,1.025820537167
8,2021-01-13 16:00:00,34986.900000000001,2021-01-13 17:00:00,34517.440000000002,-1.441816508465,1.011030087315
9,2021-01-13 19:00:00,34922.989999999998,2021-01-13 20:00:00,34385.480000000003,-1.639129381533,0.994457996097
10,2021-01-14 03:00:00,35719.360000000001,2021-01-14 08:00:00,37371.379999999997,4.524998880159,1.039457209284
11,2021-01-18 18:00:00,36574.629999999997,2021-01-18 19:00:00,36216.629999999997,-1.078820564965,1.028243331147
12,2021-01-18 20:00:00,36443.910000000003,2021-01-19 01:00:00,36184.309999999998,-0.812327519193,1.019890627603
13,2021-01-19 06:00:00,36198.010000000002,2021-01-19 11:00:00,36804.099999999999,1.574373812262,1.035947518558
14,2021-01-23 03:00:00,33275.669999999998,2021-01-23 07:00:00,32835.290000000001,-1.423429400520,1.021201537005
15,2021-01-24 13:00:00,32811.769999999997,2021-01-24 17:00:00,32630.480000000000,-0.652515149289,1.014538042271
16,2021-01-24 20:00:00,32833.370000000003,2021-01-24 20:33:00,32395.830000000002,-1.432607648865,1.000003692677
17,2021-01-25 09:00:00,32575.150000000001,2021-01-25 14:00:00,33331.129999999997,2.220726074937,1.022211035431
18,2021-01-28 14:00:00,31729.160000000000,2021-01-28 15:00:00,31564.750000000000,-0.618166884973,1.015892065315
19,2021-01-28 22:00:00,31775.119999999999,2021-01-29 03:00:00,32633.689999999999,2.602019693395,1.042325776918
20,2021-02-01 17:00:00,34475.570000000000,2021-02-01 21:00:00,33770.230000000003,-2.145912511381,1.019958377662
21,2021-02-02 02:00:00,33979.940000000002,2021-02-02 03:00:00,33739.519999999997,-0.807535092764,1.011721855831
22,2021-02-02 13:00:00,33876.360000000001,2021-02-02 18:00:00,35334.029999999999,4.202912119248,1.054243636323
23,2021-02-05 03:00:00,37143.440000000002,2021-02-05 08:00:00,36936.650000000001,-0.656733571258,1.047320064440
24,2021-02-05 12:00:00,37366.010000000002,2021-02-05 13:00:00,37266.790000000001,-0.365535442505,1.043491738408
25,2021-02-05 16:00:00,37659.639999999999,2021-02-05 18:00:00,37251.070000000000,-1.184901501979,1.031127389127
26,2021-02-05 20:00:00,37691.320000000000,2021-02-06 01:00:00,37813.190000000002,0.223337044179,1.033430278559
27,2021-02-06 06:00:00,37819.669999999998,2021-02-06 11:00:00,39383.260000000002,4.034330098597,1.075122267335
28,2021-02-07 17:00:00,39496.959999999999,2021-02-07 19:44:00,38914.019999999997,-1.575911057459,1.058179296643
29,2021-02-08 19:00:00,39418.709999999999,2021-02-09 00:00:00,43703.230000000003,10.769254727007,1.172137320567
30,2021-02-11 21:00:00,46516.389999999999,2021-02-13 13:00:00,47904.690000000002,2.884539427931,1.205948083728
31,2021-02-14 14:00:00,48929.180000000000,2021-02-14 19:00:00,49024.220000000001,0.094239919819,1.207084568235
32,2021-02-16 01:00:00,48494.970000000001,2021-02-16 06:00:00,48201.180000000000,-0.705815407247,1.198564779374
33,2021-02-16 12:00:00,49624.019999999997,2021-02-16 17:00:00,49289.750000000000,-0.773605241978,1.189292619412
34,2021-02-17 05:00:00,48769.279999999999,2021-02-17 06:00:00,48575.059999999998,-0.498242500197,1.183367058131
35,2021-02-17 07:00:00,49113.910000000003,2021-02-17 12:00:00,49657.839999999997,1.007486657039,1.195289323345
36,2021-02-19 17:00:00,52236.309999999998,2021-02-19 22:00:00,52800.029999999999,0.979172705729,1.206993270154
37,2021-02-25 09:00:00,50507.239999999998,2021-02-25 13:00:00,49626.900000000001,-1.842997637566,1.184748412699
38,2021-02-25 14:00:00,50391.099999999999,2021-02-25 17:00:00,49700.010000000002,-1.471452498556,1.167315402579
39,2021-02-25 20:00:00,50299.000000000000,2021-02-26 01:00:00,50632.849999999999,0.563730889282,1.173895920079
40,2021-03-01 11:00:00,46414.699999999997,2021-03-01 14:00:00,46200.459999999999,-0.561577905276,1.167303579961
41,2021-03-01 16:00:00,46291.870000000003,2021-03-01 21:00:00,47913.800000000003,3.403703782111,1.207035136061
42,2021-03-03 08:00:00,48436.610000000001,2021-03-03 13:00:00,49105.470000000001,1.280897630945,1.222496020523
43,2021-03-04 17:00:00,50221.669999999998,2021-03-04 17:18:00,49387.870000000003,-1.760239494226,1.200977162755
44,2021-03-06 04:00:00,49285.760000000002,2021-03-06 06:00:00,49035.199999999997,-0.608382137153,1.193670632225
45,2021-03-06 15:00:00,48922.000000000000,2021-03-06 16:00:00,48820.129999999997,-0.308229426434,1.189991388082
46,2021-03-07 07:00:00,48920.870000000003,2021-03-07 08:00:00,48882.199999999997,-0.179046018601,1.187860755880
47,2021-03-07 09:00:00,49203.250000000000,2021-03-08 11:00:00,50730.820000000000,3.004611992094,1.223551362600
48,2021-03-08 19:00:00,50061.010000000002,2021-03-09 00:00:00,51055.000000000000,1.885557223076,1.246622123696
49,2021-03-11 15:00:00,55555.129999999997,2021-03-11 16:00:00,55034.209999999999,-1.037663182500,1.233686384893
50,2021-03-11 19:00:00,55530.589999999997,2021-03-12 00:00:00,56347.190000000002,1.370540831639,1.250594560533
51,2021-03-13 00:00:00,56956.959999999999,2021-03-13 05:00:00,56696.809999999998,-0.556748393875,1.243631895403
52,2021-03-13 06:00:00,56936.779999999999,2021-03-13 09:00:00,56689.360000000001,-0.534552147136,1.236984034404
53,2021-03-13 16:00:00,57343.699999999997,2021-03-13 21:00:00,59911.989999999998,4.378765758052,1.291148667735
54,2021-03-15 02:00:00,59701.099999999999,2021-03-15 07:00:00,60201.190000000002,0.737656257590,1.300672906677
55,2021-03-15 12:00:00,60379.989999999998,2021-03-15 13:00:00,59773.699999999997,-1.104124048381,1.286311864324
56,2021-03-17 08:00:00,56900.739999999998,2021-03-17 09:00:00,56518.570000000000,-0.771643286186,1.276386125183
57,2021-03-17 15:00:00,56306.839999999997,2021-03-17 16:00:00,55819.230000000003,-0.965987151827,1.264056399206
58,2021-03-18 03:00:00,57575.510000000002,2021-03-18 08:00:00,58912.970000000001,2.222966830863,1.292155953684
59,2021-03-19 06:00:00,57900.059999999998,2021-03-19 08:00:00,57641.000000000000,-0.547426133928,1.285082354302
60,2021-03-19 12:00:00,57779.839999999997,2021-03-19 16:00:00,57834.040000000001,-0.006195655786,1.285002735023
61,2021-03-19 17:00:00,58338.089999999997,2021-03-19 22:00:00,58279.989999999998,-0.199591878994,1.282437973919
62,2021-03-19 23:00:00,58729.980000000003,2021-03-20 04:00:00,58826.559999999998,0.064447527481,1.283264473485
63,2021-03-20 10:00:00,58724.019999999997,2021-03-20 11:00:00,58549.330000000002,-0.397476228637,1.278163802252
64,2021-03-20 17:00:00,58671.449999999997,2021-03-20 22:00:00,59027.949999999997,0.507620912727,1.284652029011
65,2021-03-24 17:00:00,56280.400000000001,2021-03-24 22:00:00,56761.860000000001,0.755466556741,1.294357145461
66,2021-03-26 22:00:00,53316.809999999998,2021-03-27 03:00:00,53682.510000000002,0.585900000394,1.301940783981
67,2021-03-29 08:00:00,55777.650000000001,2021-03-29 09:00:00,55409.680000000000,-0.759708682600,1.292049826803
68,2021-03-29 16:00:00,55911.989999999998,2021-03-29 21:00:00,58035.190000000002,3.697396587029,1.339822033002
69,2021-03-31 22:00:00,58598.550000000003,2021-04-01 03:00:00,59304.449999999997,1.104637316111,1.354622207148
70,2021-04-01 05:00:00,58935.099999999999,2021-04-01 07:00:00,58621.940000000002,-0.631364161595,1.346069608007
71,2021-04-01 09:00:00,59221.949999999997,2021-04-01 13:00:00,58869.989999999998,-0.694306671766,1.336723756912
72,2021-04-02 11:00:00,59718.089999999997,2021-04-02 16:00:00,59421.209999999999,-0.597135792521,1.328741700913
73,2021-04-02 23:00:00,59357.650000000001,2021-04-03 01:00:00,59270.459999999999,-0.246889238371,1.325461180647
74,2021-04-03 09:00:00,59387.129999999997,2021-04-03 10:00:00,59254.980000000003,-0.322522960783,1.321186264003
75,2021-04-03 11:00:00,59408.199999999997,2021-04-03 12:00:00,59221.519999999997,-0.414232715349,1.315713478267
76,2021-04-03 13:00:00,59394.930000000000,2021-04-03 16:00:00,59301.800000000003,-0.256797895039,1.312334753750
77,2021-04-03 18:00:00,59423.900000000001,2021-04-03 20:00:00,59256.070000000000,-0.382428450506,1.307316012286
78,2021-04-03 22:00:00,59414.800000000003,2021-04-03 23:00:00,59146.379999999997,-0.551772958926,1.300102596043
79,2021-04-05 22:00:00,58113.070000000000,2021-04-06 03:00:00,58876.300000000003,1.213353433229,1.315877435527
80,2021-04-06 20:00:00,58541.339999999997,2021-04-06 22:00:00,58414.290000000001,-0.317026122053,1.311705760322
81,2021-04-08 21:00:00,57472.080000000002,2021-04-09 02:00:00,57749.089999999997,0.381990559590,1.316716352496
82,2021-04-11 08:00:00,59769.129999999997,2021-04-11 13:00:00,59906.589999999997,0.129984943733,1.318427885506
83,2021-04-11 17:00:00,59961.809999999998,2021-04-11 19:00:00,59600.000000000000,-0.703400731232,1.309154054119
84,2021-04-12 07:00:00,60101.680000000000,2021-04-12 08:00:00,59998.800000000003,-0.271176579423,1.305603934936
85,2021-04-12 12:00:00,60368.949999999997,2021-04-12 13:00:00,60126.540000000001,-0.501547484261,1.299055711245
86,2021-04-12 15:00:00,60829.680000000000,2021-04-12 17:57:00,59751.000000000000,-1.873279096652,1.274720772153
87,2021-04-12 20:00:00,60241.500000000000,2021-04-12 23:00:00,59888.449999999997,-0.686057784086,1.265975451070
88,2021-04-13 09:00:00,60452.349999999999,2021-04-13 14:00:00,60668.739999999998,0.257951345150,1.269241051775
89,2021-04-17 17:00:00,62399.870000000003,2021-04-17 17:23:00,61935.879999999997,-0.843575267064,1.258534048183
90,2021-04-21 04:00:00,56572.440000000002,2021-04-21 07:00:00,56380.000000000000,-0.440165635422,1.252994413793
91,2021-04-25 03:00:00,50562.050000000003,2021-04-25 07:00:00,50292.320000000000,-0.633463338611,1.245057153547
92,2021-04-25 11:00:00,50289.010000000002,2021-04-25 12:00:00,49626.760000000002,-1.416888123270,1.227416086610
93,2021-04-25 23:00:00,50335.669999999998,2021-04-26 02:00:00,49921.809999999998,-0.922200240903,1.216096852503
94,2021-04-26 09:00:00,50899.989999999998,2021-04-27 16:00:00,54545.000000000000,7.061121249729,1.301966925772
95,2021-04-28 20:00:00,54853.260000000002,2021-04-28 23:00:00,54489.209999999999,-0.763679788585,1.292024067506
96,2021-04-29 02:00:00,54838.730000000003,2021-04-29 04:48:00,54317.779999999999,-1.049967295012,1.278458237353
97,2021-04-30 15:00:00,54415.000000000000,2021-04-30 16:00:00,54343.110000000001,-0.232114306717,1.275490752879
98,2021-04-30 17:00:00,54526.599999999999,2021-04-30 18:00:00,54317.820000000000,-0.482895687609,1.269331463038
99,2021-04-30 21:00:00,54655.809999999998,2021-05-01 02:00:00,56546.790000000001,3.359796863316,1.311978421718
100,2021-05-03 10:00:00,58042.830000000002,2021-05-03 15:00:00,57945.550000000003,-0.267600373724,1.308467562558
101,2021-05-04 01:00:00,57693.980000000003,2021-05-04 04:00:00,57564.860000000001,-0.323801512740,1.304230724797
102,2021-05-05 22:00:00,56247.160000000003,2021-05-06 03:00:00,57301.559999999998,1.774583534529,1.327375388491
103,2021-05-07 21:00:00,57459.269999999997,2021-05-07 22:00:00,56997.470000000001,-0.903699733742,1.315379900640
104,2021-05-07 23:00:00,57129.500000000000,2021-05-08 04:00:00,57584.010000000002,0.695578466467,1.324529399981
