,开仓时间,开仓价格,开仓参考时间,开仓参考价格,平仓时间,平仓价格,平仓参考时间,平仓参考价格,盈利,净值
0,2019-02-09 00:00:00,3660.270000000000,2019-02-02 00:00:00,3462.200000000000,2019-02-16 00:00:00,3602.490000000000,2019-02-09 00:00:00,3658.620000000000,-1.828572072552,0.981714279274
1,2019-02-19 00:00:00,3897.350000000000,2019-02-12 00:00:00,3631.050000000000,2019-02-26 00:00:00,3828.440000000000,2019-02-19 00:00:00,3899.980000000000,-2.018124494849,0.961902062935
2,2019-03-04 00:00:00,3807.320000000000,2019-02-25 00:00:00,3743.560000000000,2019-03-04 04:23:00,3781.570000000000,2019-02-25 04:23:00,3745.280000000000,-0.926328756185,0.952991687520
3,2019-03-06 00:00:00,3857.580000000000,2019-02-27 00:00:00,3809.310000000000,2019-03-08 22:03:00,3830.820000000000,2019-03-01 22:03:00,3814.330000000000,-0.943699158540,0.943998312984
4,2019-03-09 00:00:00,3864.880000000000,2019-03-02 00:00:00,3822.170000000000,2019-03-11 12:05:00,3863.960000000000,2019-03-04 12:05:00,3808.480000000000,-0.273804102585,0.941413606874
5,2019-03-12 00:00:00,3871.610000000000,2019-03-05 00:00:00,3716.100000000000,2019-03-12 00:24:00,3865.000000000000,2019-03-05 00:24:00,3716.640000000000,-0.420730006380,0.937452797346
6,2019-03-13 00:00:00,3882.690000000000,2019-03-05 18:00:00,3847.670000000000,2019-03-13 02:10:00,3872.060000000000,2019-03-05 20:10:00,3848.000000000000,-0.523779261285,0.932542614009
7,2019-03-15 00:00:00,3877.120000000000,2019-03-07 18:00:00,3879.530000000000,2019-03-21 14:58:00,3936.140000000000,2019-03-14 14:58:00,3864.120000000000,1.272263948498,0.944407017492
8,2019-03-22 00:00:00,3980.850000000000,2019-03-15 00:00:00,3877.120000000000,2019-03-24 00:00:00,4006.010000000000,2019-03-17 00:00:00,4007.130000000000,0.382025823631,0.948014896179
9,2019-03-25 00:00:00,3991.350000000000,2019-03-18 00:00:00,3981.850000000000,2019-03-25 18:58:00,3926.060000000000,2019-03-18 18:58:00,3980.970000000000,-1.885787390231,0.930137350809
10,2019-03-29 00:00:00,4028.220000000000,2019-03-22 00:00:00,3980.850000000000,2019-04-14 00:00:00,5047.450000000000,2019-04-07 00:00:00,5044.860000000000,25.052242677907,1.163157617172
11,2019-04-17 00:00:00,5173.720000000000,2019-04-10 00:00:00,5150.000000000000,2019-04-18 00:00:00,5202.410000000000,2019-04-11 00:00:00,5316.840000000000,0.304533295192,1.166699819391
12,2019-04-19 00:00:00,5258.440000000000,2019-04-12 00:00:00,5017.370000000000,2019-04-25 22:05:00,5224.910000000000,2019-04-18 22:05:00,5204.170000000000,-0.887641581914,1.156343706658
13,2019-04-27 00:00:00,5315.000000000000,2019-04-20 00:00:00,5258.680000000000,2019-04-29 13:09:00,5222.410000000000,2019-04-22 13:09:00,5255.040000000000,-1.992050799624,1.133308752603
14,2019-05-03 00:00:00,5494.810000000000,2019-04-26 00:00:00,5220.470000000000,2019-05-22 00:00:00,7904.480000000000,2019-05-14 14:00:00,8135.910000000000,43.603563635503,1.627471755732
15,2019-05-25 00:00:00,7964.520000000000,2019-05-18 00:00:00,7355.280000000000,2019-06-04 00:00:00,8115.660000000000,2019-05-28 00:00:00,8762.270000000000,1.647666149372,1.654287056941
16,2019-06-14 00:00:00,8216.440000000001,2019-06-06 22:59:00,7710.590000000000,2019-06-14 01:16:00,8174.990000000000,2019-06-07 00:15:00,7716.000000000000,-0.754476391235,1.641805851654
17,2019-06-15 00:00:00,8650.879999999999,2019-06-08 00:00:00,7978.940000000000,2019-07-02 00:00:00,10624.900000000000,2019-06-25 00:00:00,11066.209999999999,22.568719020493,2.012340401175
18,2019-07-08 00:00:00,11410.000000000000,2019-07-01 00:00:00,10854.100000000000,2019-07-11 20:27:00,11252.139999999999,2019-07-04 20:27:00,11979.200000000001,-1.633523225241,1.979468353351
19,2019-07-12 00:00:00,11342.879999999999,2019-07-05 00:00:00,11145.670000000000,2019-07-12 00:01:00,11318.309999999999,2019-07-05 00:01:00,11133.270000000000,-0.466611654183,1.970231923324
20,2019-07-13 00:00:00,11757.219999999999,2019-07-06 00:00:00,10982.410000000000,2019-07-13 10:06:00,11460.010000000000,2019-07-06 10:06:00,11007.809999999999,-2.777893498633,1.915500978818
21,2019-08-02 00:00:00,10375.000000000000,2019-07-26 00:00:00,9882.150000000000,2019-08-02 00:28:00,10364.330000000000,2019-07-26 00:28:00,9868.490000000000,-0.352843373494,1.908742260545
22,2019-08-03 00:00:00,10523.750000000000,2019-07-27 00:00:00,9824.000000000000,2019-08-13 00:00:00,11398.350000000000,2019-08-06 00:00:00,11794.160000000000,8.060725739399,2.062600739239
23,2019-09-04 00:00:00,10611.850000000000,2019-08-28 00:00:00,10185.690000000001,2019-09-06 20:12:00,10319.650000000000,2019-08-30 20:12:00,9534.820000000000,-3.003525539845,2.000649999251
24,2019-09-07 00:00:00,10298.709999999999,2019-08-31 00:00:00,9582.760000000000,2019-09-08 11:08:00,10318.150000000000,2019-09-01 11:08:00,9583.200000000001,-0.061238494918,1.999424831303
25,2019-09-09 00:00:00,10381.240000000000,2019-09-02 00:00:00,9723.590000000000,2019-09-09 07:08:00,10237.010000000000,2019-09-02 07:08:00,9727.790000000001,-1.639333066185,1.966647598910
26,2019-09-14 00:00:00,10344.129999999999,2019-09-07 00:00:00,10298.709999999999,2019-09-15 00:00:00,10332.809999999999,2019-09-08 00:00:00,10463.940000000001,-0.359434046169,1.959578797871
27,2019-09-18 00:00:00,10187.480000000000,2019-09-11 00:00:00,10098.190000000001,2019-09-18 08:06:00,10187.090000000000,2019-09-11 08:06:00,10096.379999999999,-0.253828228374,1.954604833725
28,2019-10-26 00:00:00,8655.879999999999,2019-10-19 00:00:00,7946.890000000000,2019-11-04 00:00:00,9196.459999999999,2019-10-28 00:00:00,9549.690000000001,5.995234453343,2.071787976143
29,2019-11-05 00:00:00,9392.400000000000,2019-10-29 00:00:00,9204.450000000001,2019-11-06 00:00:00,9307.730000000000,2019-10-30 00:00:00,9407.750000000000,-1.151473531792,2.047931885963
30,2019-11-07 00:00:00,9339.160000000000,2019-10-31 00:00:00,9154.020000000000,2019-11-08 14:45:00,8774.610000000001,2019-11-01 14:45:00,9130.100000000000,-6.294976207710,1.919015060991
31,2019-12-19 00:00:00,7277.830000000000,2019-12-12 00:00:00,7210.000000000000,2019-12-19 00:17:00,7309.840000000000,2019-12-12 00:17:00,7280.180000000000,0.189828905045,1.922657906269
32,2019-12-23 00:00:00,7500.710000000000,2019-12-16 00:00:00,7119.600000000000,2019-12-24 07:53:00,7258.310000000000,2019-12-17 07:53:00,6892.170000000000,-3.481694066295,1.855716840032
33,2019-12-25 00:00:00,7255.770000000000,2019-12-18 00:00:00,6623.840000000000,2019-12-25 00:41:00,7237.010000000000,2019-12-18 00:41:00,6626.920000000000,-0.508552848285,1.846279539186
34,2019-12-28 00:00:00,7254.770000000000,2019-12-21 00:00:00,7188.010000000000,2019-12-30 00:00:00,7388.430000000000,2019-12-23 00:00:00,7533.000000000000,1.592374051831,1.875679215492
35,2020-01-04 00:00:00,7345.000000000000,2019-12-28 00:00:00,7254.770000000000,2020-01-06 00:00:00,7357.640000000000,2019-12-30 00:00:00,7383.400000000000,-0.077910142954,1.874217871134
36,2020-01-07 00:00:00,7758.900000000000,2019-12-31 00:00:00,7246.000000000000,2020-01-22 00:00:00,8736.040000000001,2020-01-15 00:00:00,8757.760000000000,12.343795512250,2.105567492600
37,2020-01-28 00:00:00,8907.570000000000,2020-01-21 00:00:00,8642.350000000000,2020-02-05 00:00:00,9197.020000000000,2020-01-29 00:00:00,9405.570000000000,2.999483304650,2.168723638009
38,2020-02-06 00:00:00,9612.030000000001,2020-01-30 00:00:00,9301.570000000000,2020-02-16 00:00:00,9904.459999999999,2020-02-08 23:00:00,9916.940000000001,2.792333409280,2.229281632708
39,2020-02-24 00:00:00,9936.400000000000,2020-02-16 18:06:00,9772.250000000000,2020-02-24 02:36:00,9858.559999999999,2020-02-16 20:42:00,9772.059999999999,-1.033382311501,2.206244630642
40,2020-03-27 00:00:00,6737.270000000000,2020-03-20 00:00:00,6162.050000000000,2020-03-27 04:58:00,6761.550000000000,2020-03-20 04:58:00,6200.760000000000,0.110383360026,2.208679957596
41,2020-04-02 00:00:00,6643.360000000000,2020-03-26 00:00:00,6677.420000000000,2020-04-12 00:00:00,6876.840000000000,2020-04-05 00:00:00,6881.830000000000,3.264486645312,2.280782019849
